"Links";"class"
"www.google.com/intl/el_GR/policies/privacy/archive/20171002/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20170417/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20170301/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20160829/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20160628/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20160325/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20150819/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20150630/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20150605/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20150501/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20150225/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20141219/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20140331/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20131220/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20130624/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20120727/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20120301/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20111020/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20101003/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20090311/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20090127/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20080807/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20051014/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20040701/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/20010104/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/19990920/";"Greek"
"www.google.com/intl/el_GR/policies/privacy/archive/19990609/";"Greek"
"www.google.com/intl/da_GR/policies/privacy/archive/20171002/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20170417/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20170301/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20160829/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20160628/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20160325/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20150819/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20150630/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20150605/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20150501/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20150225/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20141219/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20140331/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20131220/";"Danish"
"www.google.com/intl/da_GR/policies/privacy/archive/20130624/";"Danish"
